speaker_prompt_audio_filename,speaker,speaker_prompt_text_transcription,content_to_synthesize,output_audio_filename
speaker001,speaker001,二話不說，拉住他的手往回走。,把客廳冷氣打開,speaker001-out
speaker002,speaker002,將蛋黃與美乃滋、番茄醬、辛香料與鹽調味。,把客廳冷氣打開,speaker002-out
speaker003,speaker003,他的勤勞和工作效率，是鄉里間都知道的。,把客廳冷氣打開,speaker003-out
speaker004,speaker004,愛情誠可貴，生命價更高，若為健康故，兩者每日拋。,把客廳冷氣打開,speaker004-out
speaker005,speaker005,如果你也有看過這則謠言，現在已經知道是錯誤的了。,把客廳冷氣打開,speaker005-out
speaker006,speaker006,沒有辦法遠端體會現場氣氛。,把客廳冷氣打開,speaker006-out
speaker007,speaker007,這個計畫透過群眾參與來改善現有的語音辨識系統。,把客廳冷氣打開,speaker007-out
speaker008,speaker008,能稍微明白平權支持者的想法。,把客廳冷氣打開,speaker008-out
speaker009,speaker009,白日依山徑，紅燒獅子頭，芋頭西米露，薑絲大腸頭。,把客廳冷氣打開,speaker009-out
speaker010,speaker010,我在洛杉磯讀書的哥哥。,把客廳冷氣打開,speaker010-out
speaker011,speaker011,部分弱勢家庭仍然無法負擔租金。,把客廳冷氣打開,speaker011-out
speaker012,speaker012,不要動，再動，我不保證會發生什麼。,把客廳冷氣打開,speaker012-out
speaker013,speaker013,透過網站公佈優良廠商名單。,把客廳冷氣打開,speaker013-out
speaker014,speaker014,警察從被破壞之柵欄缺口突圍而出。,把客廳冷氣打開,speaker014-out
speaker015,speaker015,昏黃的橘色光芒，映照著街景。,把客廳冷氣打開,speaker015-out
speaker016,speaker016,台北數位產業園區於六月底正式營運。,把客廳冷氣打開,speaker016-out
FAIL001,FAIL001,讓非營利組織可以設立公司型態的社會企業。,把客廳冷氣打開,FAIL001-out
